NAME,DATE,PLANETDISCMETH,MASS,SEP,DIST
Kepler-107 d,2014,Transit,0.00371234,0.0780099,
WASP-14 b,2009,Transit,7.69234,0.0367693,160
Kepler-50 b,2011,Transit,0.0164915,0.0825598,
NN Ser d,2010,Timing,0.642621,3.70596,
Kepler-20 b,2011,Transit,0.0266646,0.0453704,290
HAT-P-27 b,2011,Transit,0.617485,0.0399488,204
Kepler-181 b,2014,Transit,0.00674351,0.0419466,
HD 116029 b,2011,RV,1.9075,1.64869,123.198
Kepler-207 b,2014,Transit,0.0117295,0.0269045,
HD 219828 b,2007,RV,0.0622185,0.0515012,72.3066
Kepler-11 c,2011,Transit,0.00912437,0.106909,
HD 1237 b,2001,RV,3.3748,0.494668,17.4978
WASP-21 b,2010,Transit,0.300272,0.0521087,242.131
Kepler-284 c,2014,Transit,0.0210192,0.219317,
Kepler-186 c,2014,Transit,0.00636705,0.0574114,151
HD 4308 b,2006,RV,0.0477376,0.119192,22.0556
Kepler-239 b,2014,Transit,0.0177874,0.101225,
Kepler-174 b,2014,Transit,0.014454,0.113583,
Kepler-224 d,2014,Transit,0.0174811,0.0988375,
Kepler-389 c,2014,Transit,0.0107805,0.116434,
Kepler-254 c,2014,Transit,0.0160511,0.104915,
Kepler-236 c,2014,Transit,0.0147725,0.162691,
WASP-25 b,2011,Transit,0.57847,0.0473714,
Kepler-186 d,2014,Transit,0.00934866,0.0860831,151
HD 24040 b,2007,RV,4.02189,4.92406,46.5983
Kepler-359 c,2014,Transit,0.0607789,0.292189,
Kepler-211 c,2014,Transit,0.00711292,0.0649112,
Kepler-294 c,2014,Transit,0.0223552,0.0690438,
Kepler-263 c,2014,Transit,0.019315,0.256083,
Kepler-349 b,2014,Transit,0.0139923,0.0641159,
HD 200964 b,2011,RV,1.94873,1.64347,72.2022
HD 147018 b,2010,RV,2.12711,0.238855,42.9553
HD 218566 b,2011,RV,0.212872,0.687282,28.5551
HD 45364 b,2009,RV,0.187149,0.68156,32.6904
Kepler-361 b,2014,Transit,0.010538,0.081426,
Kepler-318 c,2014,Transit,0.0419521,0.101523,
Kepler-372 b,2014,Transit,0.00850717,0.0705863,
Kepler-197 e,2014,Transit,0.00208313,0.168262,
HD 141937 b,2002,RV,9.4752,1.50087,32.2997
Kepler-405 c,2014,Transit,0.071727,0.187804,
Kepler-104 d,2014,Transit,0.0392746,0.271796,
Kepler-26 d,2014,Transit,0.00371234,0.0454914,
Kepler-159 b,2014,Transit,0.0183139,0.0916828,
HD 156668 b,2011,RV,0.0130582,0.0499846,24.4738
MOA-2009-BLG-387L b,2011,Microlensing,2.6,1.76808,5700
Kepler-32 f,2012,Transit,0.00143611,0.0130732,303
WASP-103 b,2014,Transit,1.48791,0.0198682,470
Kepler-221 e,2014,Transit,0.0212781,0.136253,
Kepler-256 c,2014,Transit,0.0160511,0.0441473,
GJ 649 b,2010,RV,0.325341,1.13179,10.3445
Kepler-276 b,2014,Transit,0.0247188,0.114376,
Kepler-264 c,2014,Transit,0.0241007,0.52792,
HD 132406 b,2007,RV,5.60495,1.98227,67.8887
Kepler-143 b,2014,Transit,0.0186399,0.124306,
Kepler-189 c,2014,Transit,0.0183139,0.144846,
HD 38529 c,2003,RV,12.2603,3.6002,39.2773
Kepler-62 b,2011,Transit,0,0.0552794,368
Kepler-281 b,2014,Transit,0.0239491,0.117153,
Kepler-196 c,2014,Transit,0.0168894,0.256426,
Kepler-238 c,2014,Transit,0.0184218,0.0657332,
Kepler-49 c,2011,Transit,0.0202381,0.07889,
Kepler-55 c,2013,Transit,0.016585,0.202122,
WASP-19 b,2010,Transit,1.13339,0.0163152,
Kepler-310 d,2014,Transit,0.019315,0.401368,
Kepler-204 c,2014,Transit,0.0131908,0.170262,
Kepler-26 b,2011,Transit,0.0397121,0.0902469,
Kepler-374 c,2014,Transit,0.00409374,0.0432285,
Kepler-395 b,2014,Transit,0.00324127,0.0719854,
HD 126614 A b,2010,RV,0.385706,2.36847,72.6216
Kepler-80 e,2014,Transit,0.0121773,0.0544864,
Kepler-83 d,2014,Transit,0.014298,0.0585134,
Kepler-167 b,2014,Transit,0.010538,0.0524957,
Kepler-295 d,2014,Transit,0.00850717,0.204929,
Kepler-337 b,2014,Transit,0.0115417,0.043316,
HD 177830 b,2000,RV,1.31967,1.13872,59.0319
Kepler-226 d,2014,Transit,0.00587447,0.0789926,
